Title,Description,Link
"Felix the Cat on the Job. Motion picture copyright descriptions collection. Class L, 1912-1977.",not given,https://www.loc.gov/item/s1229l22060/
"History of Nathaniel Evans of Cat Fish Creek, and his descendents,",Also available in digital form.,https://www.loc.gov/item/06016609/
"Unknown people on Nassau dock as we left for Cat Island, June 1935",1 photographic print.,https://www.loc.gov/item/2007660201/
"Felix the Cat Kept on Walking. Motion picture copyright descriptions collection. Class L, 1912-1977.",not given,https://www.loc.gov/item/s1229l22282/
S.1033 - 110th Congress (2007-2008): Great Cats and Rare Canids Act of 2007,Introduced in Senate. To assist in the conservation of rare felids and rare canids by supporting and providing financial resources for the conservation programs of nations within the range of rare felid and rare canid populations and projects of persons with demonstrated expertise in the conservation of rare felid and rare canid populations.,https://www.congress.gov/bill/110th-congress/senate-bill/1033
"A wild cat banker or a ""circulating medium"" secured by ""public stocks""",1 print : lithograph.,https://www.loc.gov/item/cph6267/
"Palestine disturbances during summer 1936. Jaffa. Dynamiting. One casualty, a cat blown up with the debris",1 negative : nitrate ; 4 x 5 in.,https://www.loc.gov/item/2019708805/
Tel Aviv Zoo. Wild cat found on Mt. Carmel (from Palestine),1 negative : nitrate ; 4 x 5 in.,https://www.loc.gov/item/2019709160/
"Kanellos, Vanellos and Tanagra, and child holding a cat, in dance costumes",1 negative : nitrate ; 4 x 5 in. or smaller.,https://www.loc.gov/item/2018716308/
"Stebbins, Jocelyn, Miss (Mrs. Fletcher), and Buzzer the cat, portrait photograph",1 negative : glass ; 5 x 7 in.,https://www.loc.gov/item/2018706930/
"Warren, Gertrude, Miss, or Miss Jackman, with Buzzer the cat, portrait photograph",1 negative : glass ; 5 x 7 in.,https://www.loc.gov/item/2018706854/
"Canadian scenes. Group portrait of three men, one holding a cat, and a youth",1 negative : nitrate ; 5 x 7 in.,https://www.loc.gov/item/2019673342/
"Miss Neville Gherardi enrolling cook T.T. Cates, 11/5/25",1 negative : glass ; 4 x 5 in. or smaller,https://www.loc.gov/item/2016841233/
"Miss Neville Gherardi enrolls the cook, T.T. Cates, [11/5/25]",1 negative : glass ; 4 x 5 in. or smaller,https://www.loc.gov/item/2016841234/
"Temple entrance at Nikko, with carved cat that drives away the rats, Japan",1 photograph : print on card mount ; mount 9 x 18 cm (stereograph format),https://www.loc.gov/item/2020634110/
"Wild cat Cavern near Starved Rock, La Salle Co. Ill. (1)",1 photograph : print on card mount ; mount 9 x 18 cm (stereograph format),https://www.loc.gov/item/2018647683/
[Photograph of painting by Marie Laurencin depicting several people and a large cat],1 photographic print.,https://www.loc.gov/item/99402845/
"[Judy Blume, three-quarter length portrait, standing, facing front, holding cat]",1 photographic print.,https://www.loc.gov/item/97510103/
"[Little girl, with picnic basket and cat, waves from shore to boy in rowboat on pond]",1 drawing : watercolor ; 31.7 x 49.4 cm (sheet) | Illustration shows,https://www.loc.gov/item/2005676917/
"[Mrs. Thomas H. Massie, three-quarter length portrait, seated, facing front, holding cat]",1 photographic print.,https://www.loc.gov/item/2004669886/
"Grading lynx-cat [furs] for the Funsten Public Auction Fur Sale, St. Louis",1 photographic print.,https://www.loc.gov/item/2005691561/
"[Mark Robson, Robert Wise, and Val Lewton in conversation during the production of Cat People]",1 photographic print. | Photograph shows film directors Robert Wise and Mark Robson conversing on a couch as producer Val Lewton sits upon an end table and smiles.,https://www.loc.gov/item/2005687028/
The catspaw,"1 photomechanical print : offset, color. | Illustration shows a cat wearing a hat labeled ""American Labor"" reaching for a toy labeled ""Tariff Benefits"" that is very close to the fire labeled ""Politics"" in a fireplace; sitting to the right of the fireplace, in the background, is a large ape wearing a crown shaped like a money bag labeled ""Protected Monopoly"", next to it...",https://www.loc.gov/item/2011649384/
"""When I wish to catch rats, I first stop their holes"" - Gen'l Scott","1 print on gold wove paper : wood engraving ; 8 x 14 cm (envelope) | Print shows an anti-Confederacy cartoon advocating General Scott's blockade of the South, with Union ships in a circle outside Confederate centers labeled ""Norfolk, Charleston, Savannah, Mississippi, Manassas Gap, [and] Pensacola"" as well as ""Washington"", and an inner circle showing a cat next to Washington, with mice coming from...",https://www.loc.gov/item/2012647347/
Mickey Mouse,"1 drawing : ink and opaque white over graphite underdrawing with overlays and scraping out ; 35.1 x 32 cm. (sheet) | Cartoon shows Yugoslav leader Tito as Mickey Mouse, thumbing his nose at a large cat (labeled ""Stalin""). In the late 1940s, Tito refused to accept the domination of Russia and took an independent Communist line despite Soviet threats. Reflects American satisfaction at...",https://www.loc.gov/item/2016683554/
Das allegrösste Bilder ABC. K,"1 print : lithograph ; 36.5 x 43 cm (sheet) | Print shows the letter ""K"" formed by a man sitting on a mile marker with his legs extended and holding a large board on which he is writing or painting, with examples ""Kegelschieben"" showing a man with a peg leg observing children bowling; ""Kuhhirt"" showing a young boy cowherder with a cow; ""Kranke""...",https://www.loc.gov/item/2012649915/
Our British watch-dog,"1 print : chromolithograph. | Illustration shows a British bulldog labeled ""Commercial Interests"" standing before a plate of food labeled ""American Products""; he is looking across a small body of water at four cats labeled ""France, Italy, Austria, [and] Germany"" sitting on a fence labeled ""Continental Jealousy"" and flying a banner ""Commercial Tariff Blockade."" The bulldog is chained to a dog house draped with...",https://www.loc.gov/item/2010651448/
"H.R.9384 - 95th Congress (1977-1978): A bill to provide for loans for the establishment and/or construction of municipal, low-cost, nonprofit clinics for the spaying and neutering of f dogs and cats.","Summary of H.R.9384 - 95th Congress (1977-1978): A bill to provide for loans for the establishment and/or construction of municipal, low-cost, nonprofit clinics for the spaying and neutering of f dogs and cats.",https://www.congress.gov/bill/95th-congress/house-bill/9384
"H.R.8160 - 95th Congress (1977-1978): A bill to provide for loans for the establishment and/or construction of municipal, low-cost, nonprofit clinics for spaying and neutering of dogs and cats.","Summary of H.R.8160 - 95th Congress (1977-1978): A bill to provide for loans for the establishment and/or construction of municipal, low-cost, nonprofit clinics for spaying and neutering of dogs and cats.",https://www.congress.gov/bill/95th-congress/house-bill/8160
"H.R.6347 - 95th Congress (1977-1978): A bill to provide for loans for the establishment and/or construction of municipal, low-cost nonprofit clinics for the spaying and neutering of dogs and cats.","Summary of H.R.6347 - 95th Congress (1977-1978): A bill to provide for loans for the establishment and/or construction of municipal, low-cost nonprofit clinics for the spaying and neutering of dogs and cats.",https://www.congress.gov/bill/95th-congress/house-bill/6347
"H.R.4930 - 95th Congress (1977-1978): A bill to provide for loans for the establishment and/or construction of municipal, low-cost, nonprofit clinics for the spaying and neutering of dogs and cats.","Summary of H.R.4930 - 95th Congress (1977-1978): A bill to provide for loans for the establishment and/or construction of municipal, low-cost, nonprofit clinics for the spaying and neutering of dogs and cats.",https://www.congress.gov/bill/95th-congress/house-bill/4930
"H.R.3601 - 95th Congress (1977-1978): A bill to provide for loans for the establishment and/or construction of municipal, low-cost, nonprofit clinics for the spaying and neutering of dogs and cats.","Summary of H.R.3601 - 95th Congress (1977-1978): A bill to provide for loans for the establishment and/or construction of municipal, low-cost, nonprofit clinics for the spaying and neutering of dogs and cats.",https://www.congress.gov/bill/95th-congress/house-bill/3601
S.147 - 103rd Congress (1993-1994): A bill to provide for the liquidation or reliquidation of certain entries of dog and cat treats as free of certain duties.,Summary of S.147 - 103rd Congress (1993-1994): A bill to provide for the liquidation or reliquidation of certain entries of dog and cat treats as free of certain duties.,https://www.congress.gov/bill/103rd-congress/senate-bill/147
H.R.589 - 103rd Congress (1993-1994): To provide for the liquidation or reliquidation of certain entries of dog and cat treats as free of certain duties.,Summary of H.R.589 - 103rd Congress (1993-1994): To provide for the liquidation or reliquidation of certain entries of dog and cat treats as free of certain duties.,https://www.congress.gov/bill/103rd-congress/house-bill/589
"S.1032 - 93rd Congress (1973-1974): A bill to provide for loans for the establishment and/or construction of municipal, low-cost, nonprofit clinics for the spaying and neutering of dogs and cats.","Summary of S.1032 - 93rd Congress (1973-1974): A bill to provide for loans for the establishment and/or construction of municipal, low-cost, nonprofit clinics for the spaying and neutering of dogs and cats.",https://www.congress.gov/bill/93rd-congress/senate-bill/1032
"S.2151 - 95th Congress (1977-1978): A bill to authorize loans for the establishment of local, public, low-cost, nonprofit clinics for the spaying and neutering of dogs and cats.","Summary of S.2151 - 95th Congress (1977-1978): A bill to authorize loans for the establishment of local, public, low-cost, nonprofit clinics for the spaying and neutering of dogs and cats.",https://www.congress.gov/bill/95th-congress/senate-bill/2151
"H.R.10695 - 94th Congress (1975-1976): A bill to provide for loans for the establishment and/or construction of municipal, low-cost, nonprofit clinics for the spaying and neutering of dogs and cats.","Summary of H.R.10695 - 94th Congress (1975-1976): A bill to provide for loans for the establishment and/or construction of municipal, low-cost, nonprofit clinics for the spaying and neutering of dogs and cats.",https://www.congress.gov/bill/94th-congress/house-bill/10695
"H.R.9020 - 94th Congress (1975-1976): A bill to provide for loans for the establishment and/or construction of municipal, low-cost, nonprofit clinics for the spaying and neutering of dogs and cats.","Summary of H.R.9020 - 94th Congress (1975-1976): A bill to provide for loans for the establishment and/or construction of municipal, low-cost, nonprofit clinics for the spaying and neutering of dogs and cats.",https://www.congress.gov/bill/94th-congress/house-bill/9020
"H.R.554 - 94th Congress (1975-1976): A bill to provide for loans for the establishment and/or construction of municipal, low-cost, nonprofit clinics for the spaying and neutering of dogs and cats.","Summary of H.R.554 - 94th Congress (1975-1976): A bill to provide for loans for the establishment and/or construction of municipal, low-cost, nonprofit clinics for the spaying and neutering of dogs and cats.",https://www.congress.gov/bill/94th-congress/house-bill/554
"H.R.2534 - 94th Congress (1975-1976): A bill to provide for loans for the establishment and/or construction of municipal, low-cost, nonprofit clinics for the spraying and neutering of dogs and cats.","Summary of H.R.2534 - 94th Congress (1975-1976): A bill to provide for loans for the establishment and/or construction of municipal, low-cost, nonprofit clinics for the spraying and neutering of dogs and cats.",https://www.congress.gov/bill/94th-congress/house-bill/2534
"H.R.7859 - 93rd Congress (1973-1974): A bill to provide for loans for the establishment or construction, or both, of municipal, low-cost, nonprofit clinics for the spaying and neutering of dogs and cats.","Summary of H.R.7859 - 93rd Congress (1973-1974): A bill to provide for loans for the establishment or construction, or both, of municipal, low-cost, nonprofit clinics for the spaying and neutering of dogs and cats.",https://www.congress.gov/bill/93rd-congress/house-bill/7859
"115 HRES 401 IH: Urging China, South Korea, Vietnam, Thailand, the Philippines, Indonesia, Cambodia, Laos, India, and all nations to outlaw the dog and cat meat trade and to enforce existing laws ...","Introduced in House. Urging China, South Korea, Vietnam, Thailand, the Philippines, Indonesia, Cambodia, Laos, India, and all nations to outlaw the dog and cat meat trade and to enforce existing laws against the trade.",https://www.congress.gov/bill/115th-congress/house-resolution/401
H.Res.330 - 111th Congress (2009-2010): Expressing the sense of the House of Representatives that the Secretary of the Navy should name an appropriate Navy ship in honor of Marine Corps General Clifton ...,"Introduced in House. Expressing the sense of the House of Representatives that the Secretary of the Navy should name an appropriate Navy ship in honor of Marine Corps General Clifton B. Cates of Tiptonville, Tennessee.",https://www.congress.gov/bill/111th-congress/house-resolution/330
113 HRES 637 IH: Expressing the sense of the House of Representatives that the Secretary of the Navy should name an appropriate Navy ship in honor of Marine Corps General Clifton B. ...,"Introduced in House. Expressing the sense of the House of Representatives that the Secretary of the Navy should name an appropriate Navy ship in honor of Marine Corps General Clifton B. Cates of Tiptonville, Tennessee.",https://www.congress.gov/bill/113th-congress/house-resolution/637
"H.R.13402 - 95th Congress (1977-1978): A bill to provide for loans for the establishment and/or construction of municipal, low-cost, nonprofit clinics for the spaying and neutering of dogs and cats, and for ...","Summary of H.R.13402 - 95th Congress (1977-1978): A bill to provide for loans for the establishment and/or construction of municipal, low-cost, nonprofit clinics for the spaying and neutering of dogs and cats, and for other purposes.",https://www.congress.gov/bill/95th-congress/house-bill/13402
"H.R.1735 - 96th Congress (1979-1980): A bill to provide for loans for the establishment and/or construction of municipal, low-cost, nonprofit clinics for the spaying and neutering of dogs and cats, and for ...","Summary of H.R.1735 - 96th Congress (1979-1980): A bill to provide for loans for the establishment and/or construction of municipal, low-cost, nonprofit clinics for the spaying and neutering of dogs and cats, and for other purposes.",https://www.congress.gov/bill/96th-congress/house-bill/1735
"H.R.13193 - 93rd Congress (1973-1974): A bill to provide for loans for the establishment of construction, or municipal low cost, nonprofit clinics for the spaying and neutering of dogs and cats, and ...","Summary of H.R.13193 - 93rd Congress (1973-1974): A bill to provide for loans for the establishment of construction, or municipal low cost, nonprofit clinics for the spaying and neutering of dogs and cats, and for other purposes.",https://www.congress.gov/bill/93rd-congress/house-bill/13193
Samuel L. Clemens (Also Known As Mark Twain) Was Born,Western Expansion & Reform (1829-1859) Samuel L. Clemens (Also Known As Mark Twain) Was Born Tom and Huck inspect a cat in an illustration from The Adventures of Tom Sawyer CREDIT: Illustration from The Adventures,https://www.americaslibrary.gov/jb/reform/jb_reform_twain_1_e.html
Duke Ellington's Varied Career,"Musicians & Composers Duke Ellington Duke Ellington's Varied Career Duke Ellington and some of his musical friends at the Aquarium in New York, 1946 CREDIT: Gottlieb, William P., photographer. ""Portrait of Duke Ellington, Cat Anderson,",https://www.americaslibrary.gov/aa/ellington/aa_ellington_career_1_e.html
Dizzy Gillespie,"Modern Era (1946 - present) Gillespie with his ""moon cheeks"" playing his horn in 1947 Dizzy Gillespie January 6, 1993 Dizzy was one cool cat who jammed all over New York City, particularly along 52nd",https://www.americaslibrary.gov/jb/modern/jb_modern_dizzy_2.html
"[A Shelterbelt planted in 1940 on the Albert Stuhr farm. York County, Nebraska","This record contains unverified, old data from caption card. Photo by Soil Conservation Service. On caption card: Kan-Neb. cat. no. 173. ; RESTRICTED * Permission must be obtained from donor.",//lccn.loc.gov/2021647132
"[Aerial view of Union Stockyards (Omaha, Nebraska)]","This record contains unverified, old data from caption card. Photo by Omaha Chamber of Commerce. On caption card: Kan-Neb. cat. no. 176. ; RESTRICTED * Permission must be obtained from donor.",//lccn.loc.gov/2021647133
Singing Games,"Children's Songs Children play a singing game on Cat Island in 1935 Listen to: Ella McBrise and a group of girls from Liberty High School singing ""Itisket-Itasket"" in 1939 Wav Format (4.8 MB) Help With",https://www.americaslibrary.gov/sh/kidsongs/sh_kidsongs_singame_1.html
Paul Halpern: 2015 National Book Festival,"Paul Halpern discusses 'Einstein's Dice and Schrödinger's Cat: How Two Great Minds Battled Randomness to Create a Unified Theory of Physics' at the 2015 Library of Congress National Book Festival in Washington, D.C.",https://www.loc.gov/item/webcast-7016/
Technical review and documentation of current NHPA injury indicators and data sources /,"""Research Centre for Injury Studies, Flinders University of South Australia"" -- T.p. verso ""AIHW cat no. INJCAT 47"" Includes bibliographical references (p. 79-81) Electronic version available at: http://www.nisu.flinders.edu.au",//lccn.loc.gov/2003386232
2001 National Drug Strategy household survey : first results /,"""May 2002."" ""AIHW cat. no. PHE 35."" Appendix 5 contains the survey questionnaire. Issues for 2007- cataloged as a serial in LC. Also available online via the World Wide Web at the Institute's website at: http://www.aihw.gov.au",//lccn.loc.gov/2002391544
"Projections of older immigrants : people from culturally and linguistically diverse backgrounds, 1996-2026, Australia /","""AIHW cat. no. AGE 18."" A supplement to this report, providing additional data, has been issued on a CD-ROM. Includes bibliographical references (p. 116) Also available online via the World Wide Web.",//lccn.loc.gov/2003427275
"8th IEEE Workshop on Signal Propagation on Interconnects : proceedings : May 9-12, 2004, Hotel ""Crowne Plaza"", Heidelberg, Germany /","""IEEE Cat No: 04EX845""--T.p. verso. Includes bibliographical references. Also issued online with additional title: Signal Propagation on Interconnects, 2004, proceedings, 8th IEEE Workshop on.",//lccn.loc.gov/2004104131
Educational outcomes of children on guardianship or custody orders : a pilot study /,"""AIHW cat no.CWS 30"" Bibliography: p. 44-45. Also available in an electronic version via the Internet. Address as at 11 September 2007: http://www.aihw.gov.au/publications/cws/eoocogoco/eoocogoco.pdf",//lccn.loc.gov/2007701507
Mortality over the twentieth century in Australia : trends and patterns in major causes of death.,"""AIHW cat. no. PHE 73"". Includes bibliographical references (p. 202-204). Also available online at the AIHW website. Address as at 24/4/06: http://www.aihw.gov.au/publications/phe/motca/motca.pdf.",//lccn.loc.gov/2006462131
Occupational therapy labour force 2002-2003.,"""AIHW cat. no. HWL 35 ""-- T.p. Bibliography: p. 24. Also available in an electronic version on the Internet. Address as of 3 August 2006: http://www.aihw.gov.au/publications/hwl/otlf02-03/otlf02-03.pdf",//lccn.loc.gov/2007532384
Psychology labour force 2003.,"""August 2006."" ""AIHW cat. no. HWL 34"". Includes bibliographical references (p. 22). Also available in an electronic version on the Internet. Address as of 3 August 2006: http://www.aihw.gov.au/publications/hwl/plf03/plf03.pdf",//lccn.loc.gov/2007532385
Elective surgery in Australia : new measures of access /,"""June 2008"" ""Cat. no. HSE 57"". Includes bibliographical (p. 78). Also available in an electronic version via the Internet. Address as of 9th July 2008: http://www.aihw.gov.au/publications/hse/esia/esia.pdf",//lccn.loc.gov/2008425682
Report on the evaluation of the national minimum data set for public hospital establishments /,"""AIHW cat no. HSE 45"" Includes bibliographical references (p. 163). Also available in an electronic version on the Internet. Address as of 15/06/07: http://www.aihw.gov.au/publications/hse/renmdsphe/renmdsphe.pdf",//lccn.loc.gov/2007701508
"Socioeconomic differences in children's dental health : the Child Dental Health Survey, Australia 2001 /","""AIHW cat. no. DEN 152""--T.p. Includes bibliographical references (p. 34) Also available in an electronic version on the Internet. Address as of 20 September 2006: http://www.arcpoh.adelaide.edu.au/publications/cdhs2001_frame.html",//lccn.loc.gov/2007701509
National evaluation of the Retirement Villages Care Pilot : final report /,"""AIHW Cat. no. AGE 49"". ""August 2006"". Includes bibliographical references (p. 294-295). Also available in an electronic version via the Internet. Address as of 24/8/06: http://www.aihw.gov.au/publications/age/nervcp/nervcp.pdf",//lccn.loc.gov/2007701517
"Reported injury mortality of Aboriginal and Torres Strait Islander people in Australia, 1997-2000 /","""AIHW cat. no. INJCAT 66"". Bibliography: p. 69-71. Also available in an electronic version via the Internet. Address as of 09/12/2004: http://www.nisu.flinders.edu.au/pubs/reports/2004/injcat66.pdf",//lccn.loc.gov/2005391306
"Canadian perinatal health report, 2003 /","Authors: Sharon Bartholomew et al. ""Erratum"" included. Issued also in French under title: Rapport sur la santé périnatale au Canada, 2003. ""Cat. No. H49-142/2003E""--T.p. verso. Includes bibliographical references. Also available online.",//lccn.loc.gov/2004484701
Library of Congress Aesop Fables,"‹ back next › The Æsop for Children The Cat, the Cock, and the Young Mouse A very young Mouse, who had never seen anything of the world, almost came to grief the very first",https://www.read.gov/aesop/085.html
"Mrs. Sanfilippo and her sister, group portrait, photograph","Mrs. Sanfilippo is standing on the right, holding a cat. Forms part of a group of field materials documenting Francisco Sanfilippo performing unaccompanied Sicilian songs from Italy on February 11, 1939, collected by Sidney Robertson Cowell in Martinez, California.",https://www.loc.gov/item/2017701216/
Samuel L. Clemens (Also Known As Mark Twain) Was Born,"Western Expansion & Reform (1829-1859) Tom and Huck inspect a cat in an illustration from The Adventures of Tom Sawyer Samuel L. Clemens (Also Known As Mark Twain) Was Born November 30, 1835 In The",https://www.americaslibrary.gov/jb/reform/jb_reform_twain_1.html
Edgar Allan Poe Was Born,"The New Nation (1790-1828) Illustration from ""The Black Cat"" Edgar Allan Poe Was Born January 19, 1809 Poe was a successful editor, journalist, and critic of literature, but his personal life was full of tragedy",https://www.americaslibrary.gov/jb/nation/jb_nation_poe_3.html
Quatrain of Kamal al-Din Isma'il,"Quatrain of Kamal al-Din Isma'il (d. 634/1237), written by calligrapher 'Imad al-Hasani active in Safavid Persia and Mughal India. An zulf nagar bar rukh-i an shuhra sanam / Avikhta bi jang u khusumat dar ham / Va an abru bin basan-i gushti giran / Sar suya sar avarda u qadha zada kham Dimensions of Written Surface: 9.8 (w) x 19.4 (h) cm Look at...",https://www.loc.gov/item/2019714662/
Qur'anic verses,"Qur'anic verses 12-16 of the 4th chapter of the Qur'an entitled al-Nisa' (The Women), written in Kufi script (New Style I) during the 11th-12th centuries. Dimensions of Written Surface: Recto: 22 (w) x 28.5 (h) cm Dimensions of Written Surface: Verso: 22.3 (w) x 28.5 (h) cm If any of your women are guilty of lewdness, / Take the evidence of four (reliable) witnesses...",https://www.loc.gov/item/2019714685/
Qur'anic verses,"Qur'anic verses 5-12 of the 45th chapter of the Qur'an entitled al-Jathiyah (the Kneeling Down), Kufi script similar to style E typical of the 9-10th centuries. Dimensions of Written Surface: Recto: 14 (w) x 7.6 (h) cm. Dimensions of Written Surface: Verso: 14 (w) x 8 (h) cm If anyone does a righteous deed, / It endures to the benefit of his own soul;...",https://www.loc.gov/item/2019714691/
Quatrain on true knowledge,"Persian quatrain on true knowledge written in black Nasta'liq script by the calligrapher (Mir) 'Imad al-Hasani in the 17th Cent. Below the quatrain, the calligrapher (Mir) 'Imad al-Hasani has signed his work with his name and a number of diminutives, as well as a request for God's forgiveness. Mir 'Imad (d. 1615) was born in 1552, spent time in Herat and Qazvin, and finally...",https://www.loc.gov/item/2019714692/
Qur'anic verses,"Qur'anic verses 68-69 of the 5th chapter of the Qur'an entitled al-Ma'idah (The Table), written in the Maghribi script during the 13th-14th Cent. A number of Qur'ans similar to this fragment were produced on the Iberian peninsula c. 1250-1500. They were made for the Nasrids ruling from Granada, Spain (1232-1492) and the Marinids, who reigned from their capital in Fez, Morrocco (1248-1340). This Qur'an...",https://www.loc.gov/item/2019714703/
